Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max
1987,"BORE WELL AT VASAI,  VILLAGE? GOKHIWARE, TALUKA? VASAI,DISTRICT? PALGHAR.",MAHARASHTRA,26,27,7,7.4,629,1333,4.2,5,1.15,1.15,6.8,13,46,70,608,1208,0.24,0.79,BDL,BDL
1989,"BORE WELL AT MWML SITE AT TALOJA, VILLAGE?KARAWLA? TALOJA,TALUKA? PANVEL,DISTRICT? RAIGAD.",MAHARASHTRA,27,29,7.1,7.1,1763,2205,5,5,0.33,0.59,17,23,70,140,1914,1914,BDL,BDL,BDL,BDL
1990,"BORE WELL AT BMW SITE, VILLAGE?BURUDGAON ,TALUKA? AHMEDNAGAR,DISTRICT?AHMEDNAGAR.",MAHARASHTRA,20,24,7.2,7.3,2355,3458,3.4,3.6,0.34,5.64,4,6,40,63,1810,2789,BDL,BDL,?,?
1991,"BORE WELL AT MSW SITE,VILLAGE?PATHARDI,TALUKA? NASHIK,DISTRICT?NASHIK.",MAHARASHTRA,26,27,7.5,7.6,582,1700,3.5,6.2,0.34,1.75,6,11,58,79,461,1321,BDL,BDL,BDL,BDL
1992,"DUG WELL AT MSW SITE, OWNED BY SHRI. DATTU KONDIBA BORATE AT BORATE VASTHI, VILLAGE? MOSHI, PIMPRI CHINCHWAD, TALUKA? HAWELI,DISTRICT? PUNE.",MAHARASHTRA,26,29,7.2,7.6,659,706,4.4,6.2,2.51,5.81,6,9,95,250,540,612,0.58,0.58,?,?
1993,"DUG WELL AT PANDHARPUR, VILLAGE?PANDHARPUR, TALUKA? GANGAPUR, DISTRICT ?AURANGABAD.",MAHARASHTRA,28,40,7.3,7.7,1247,1619,2.4,5.8,13,19.7,2,2,6.8,23,1052,1220,0.51,1.02,?,?
1994,"DUG WELL AT TPS?DURGAPUR, NEAR NASEEB KIRANA AND GENERAL STORES, VILLAGE? DURGAPUR, TALUKA? CHANDRAPUR, DISTRICT?CHANDRAPUR.",MAHARASHTRA,19,19,7.2,7.5,912,996,3.2,3.8,?,?,17,32,140,170,719,880,BDL,BDL,BDL,BDL
1995,"GRAM PANCHAYATH DUG WELL , NEAR BALAJI GAJBHIYE HOUSE,VILLAGE?KHAPERKHEDA ( WARD NO.4) , TALUKA? SAONER,DISTRICT? NAGPUR.",MAHARASHTRA,25,35,7.8,8.3,1164,1229,3.2,3.4,?,?,10,26,94,170,969,1002,0.42,0.42,BDL,BDL
1996,"GRAM PANCHAYATH DUG WELL , NEAR JAGADAMBA G. M. S. MANDIR SAHAKARI SANSTHA, VILLAGE?KORADI,TALUKA?KAMPTEE, DISTRICT? NAGPUR.",MAHARASHTRA,25,35,7.5,8.2,1404,1544,3,3.6,?,?,21,24,120,120,1269,1312,BDL,BDL,BDL,BDL
1997,"BORE WELL NEAR PRIMARY HEALTH CENTRE, VILLAGE? RAIPUR,TALUKA? HINGNA,DISTRICT? NAGPUR.",MAHARASHTRA,18,18,7.9,7.9,1132,1132,3.2,3.2,?,?,40,40,280,280,884,884,BDL,BDL,BDL,BDL
1999,"BORE WELL NEAR GRAM PANCHAYAT OFFICE, VILLAGE? CHANGERA,TALUKA? GONDIA,DISTRICT? GONDIA.",MAHARASHTRA,22,28,7,7.5,710,1011,3.4,6.2,17.63,17.63,12,17,110,140,680,875,BDL,BDL,?,?
2003,"DUG WELL AT PLOT NO? 4, STREET NO.49?C, AT NEHRU BAL UDYAN AZAD MAIDAN, OWNED BY YAVATMAL M.C. TALUKA? YAVATMAL, DISTRICT?YAVATMAL.",MAHARASHTRA,20,20,8.2,8.3,1022,1086,3.2,3.3,BDL,BDL,21,32,120,210,874,986,BDL,BDL,BDL,BDL
2004,"BORE WELL AT PARVATI INDUSTRIAL ESTATE, VILLAGE? YADRAV, TALUKA? SHIROL,DISTRICT? KOLHAPUR.",MAHARASHTRA,26,28,7.3,8,1180,3242,1.8,2.4,4.5,10.42,5.5,5.5,17,17,979,2618,0.28,0.28,BDL,BDL
2005,"BORE WELL AT KHANJIRENAGAR, VILLAGE? KHANJIRENAGAR,TALUKA? HATKANANGALE, DISTRICT?KOLHAPUR.",MAHARASHTRA,26,28,7.6,8.2,1163,1500,2,2.8,2.2,10.38,5.5,5.5,17,17,946,1245,0.32,0.32,BDL,BDL
2006,"BORE WELL AT SHINOLI NEAR M/S AQUA ALLOY STEEL ,MIDC, VILLAGE?SHINOLI, TALUKA? CHANDGAD, DISTRICT?KOLHAPUR.",MAHARASHTRA,26,28,7.4,8.2,1375,1548,1.6,2.2,1.45,3.71,5.5,5.5,17,17,1141,1258,0.26,1.05,BDL,BDL
2007,"BORE WELL AT SAVALI, NEAR GRAM PANCHAYAT OFFICE, VILLAGE?SAVALI, TALUKA? MIRAJ,DISTRICT? SANGLI.",MAHARASHTRA,23,24,7.9,8,8847,9894,2,2.6,3.3,4.49,5.5,6.8,17,20,734,798,BDL,BDL,BDL,BDL
2008,"DUG WELL AT SAMBARWADI OWNED BY SHRI. KISHAN HALI RAJPUT. VILLAGE?SAMBARWADI, TALUKA? MIRAJ, DISTRICT?SANGLI.",MAHARASHTRA,23,24,8.1,8.3,943,978,2.2,2.4,3.5,5.29,5.6,9.1,24,24,783,789,0.24,0.24,BDL,BDL
2200,"BORE WELL AT KATPUR, NEARZ.P. SCHOOL, VILLAGE? KATPUR,TALUKA? PAITHAN,DISTRICT?AURANGABAD.",MAHARASHTRA,28,40,7.4,8.4,1008,1759,2.8,3.2,3.7,11.3,BDL,BDL,BDL,BDL,804,1296,0.74,1.02,?,?
